Datum + tijd;IP ADRES;USER ID;USER NAME;PAGINA;ERROR
2012-02-01 09:24:27;82.168.98.1;;;/beheer/competitie/main.php?menu=3;100;Array;Array
(
)

2012-02-01 14:48:42;82.168.98.1;;;/beheer/leden/main.php?menu=0;100;Array;Array
(
)

2012-02-08 00:57:15;82.168.98.1;;;/beheer/competitie/main.php?menu=3;100;Array;Array
(
)

2012-02-15 09:59:35;82.168.98.1;;;/beheer/competitie/main.php?menu=3;100;Array;Array
(
)

