Datum + tijd;IP ADRES;USER ID;USER NAME;PAGINA;ERROR
2011-10-02 17:01:41;82.168.98.1;;;/beheer/competitie/main.php?menu=3;100;Array;Array
(
)

2011-10-05 09:52:44;82.168.98.1;;;/beheer/competitie/main.php?menu=3;100;Array;Array
(
)

2011-10-13 16:00:26;82.168.98.1;;;/beheer/competitie/main.php?menu=3;100;Array;Array
(
)

2011-10-18 20:54:19;82.168.98.1;;;/beheer/leden/main.php?menu=0;100;Array;Array
(
)

2011-10-26 21:58:43;82.168.98.1;;;/beheer/competitie/main.php?menu=3;100;Array;Array
(
)

